Bin Id,Marker lineage,# genomes,# markers,# marker sets,Completeness,Contamination,Strain heterogeneity,Genome size (bp),# ambiguous bases,# scaffolds,# contigs,N50 (scaffolds),N50 (contigs),Mean scaffold length (bp),Mean contig length (bp),Longest scaffold (bp),Longest contig (bp),GC,GC std (scaffolds > 1kbp),Coding density,Translation table,# predicted genes,0,1,2,3,4,5+
GCF_022689855.1.fna,g__Staphylococcus (UID298),56,805,176,98.47,0.02,0.0,1979148,38059,2162,2163,1125,353,304,286,2240,2014,36.3,11.12,-100.0,-1,-1,9,795,1,0,0,0
GCF_022689905.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.57,0.0,1873837,35305,2035,2036,1119,352,306,288,2722,2446,36.3,11.14,-100.0,-1,-1,8,796,1,0,0,0
GCF_022689925.1.fna,g__Staphylococcus (UID298),56,805,176,98.67,0.85,0.0,1925531,36546,2125,2126,1116,348,300,283,1503,1425,36.3,9.6,-100.0,-1,-1,9,793,3,0,0,0
GCF_022689945.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.57,0.0,1965990,37632,2124,2125,1131,354,307,289,5387,4895,36.2,8.75,-100.0,-1,-1,8,796,1,0,0,0
GCF_022689965.1.fna,g__Staphylococcus (UID298),56,805,176,98.61,1.14,33.33,1898235,36044,2053,2054,1125,353,307,289,4386,3978,36.3,9.17,-100.0,-1,-1,9,795,0,1,0,0
GCF_022689975.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.63,0.0,1963466,37463,2152,2153,1119,349,303,285,2731,2454,36.3,10.57,-100.0,-1,-1,8,795,2,0,0,0
GCF_022690005.1.fna,g__Staphylococcus (UID298),56,805,176,98.47,0.07,0.0,1948047,37144,2149,2150,1107,346,301,283,2903,2610,36.4,11.02,-100.0,-1,-1,9,795,1,0,0,0
GCF_022690025.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.0,0.0,1937729,36746,2122,2123,1116,349,303,285,3516,3149,36.3,10.75,-100.0,-1,-1,8,797,0,0,0,0
GCF_022690045.1.fna,g__Staphylococcus (UID298),56,805,176,98.47,0.07,0.0,1947936,37149,2150,2151,1104,345,301,283,2903,2610,36.4,11.02,-100.0,-1,-1,9,795,1,0,0,0
GCF_022690065.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.85,0.0,1896458,35846,2030,2031,1137,354,310,292,2675,2400,36.3,11.02,-100.0,-1,-1,8,794,3,0,0,0
GCF_022690085.1.fna,g__Staphylococcus (UID298),56,805,176,98.11,0.85,0.0,1857535,34967,2027,2028,1116,348,304,286,2733,2452,36.2,10.43,-100.0,-1,-1,10,792,3,0,0,0
GCF_022690105.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.57,0.0,1916913,36273,2071,2072,1125,353,308,290,2990,2694,36.3,11.02,-100.0,-1,-1,8,796,1,0,0,0
GCF_022690115.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.68,0.0,1938380,37156,2101,2102,1125,353,307,289,2734,2450,36.2,10.37,-100.0,-1,-1,8,795,2,0,0,0
GCF_022690145.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.85,0.0,1910057,36148,2046,2047,1137,355,310,292,2731,2452,36.3,11.03,-100.0,-1,-1,8,794,3,0,0,0
GCF_022690165.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.85,0.0,1896261,35847,2031,2032,1137,354,310,292,2675,2400,36.3,10.23,-100.0,-1,-1,8,794,3,0,0,0
GCF_022690185.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.0,0.0,1935497,36864,2117,2118,1113,348,303,286,2902,2619,36.3,10.69,-100.0,-1,-1,8,797,0,0,0,0
GCF_022690205.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.02,0.0,1969695,37889,2132,2133,1122,353,307,289,3515,3153,36.3,8.48,-100.0,-1,-1,8,796,1,0,0,0
GCF_022690225.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.0,0.0,1912183,36449,2038,2039,1140,355,311,293,2773,2485,36.4,11.25,-100.0,-1,-1,8,797,0,0,0,0
GCF_022690245.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.57,0.0,1864885,35176,1994,1995,1140,356,311,293,2731,2454,36.3,11.78,-100.0,-1,-1,8,796,1,0,0,0
GCF_022690265.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.85,0.0,1883406,35512,2022,2023,1137,355,309,292,2675,2400,36.4,10.63,-100.0,-1,-1,8,794,3,0,0,0
GCF_022690275.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.57,0.0,1908825,36133,2068,2069,1128,354,307,289,2770,2493,36.2,9.68,-100.0,-1,-1,8,796,1,0,0,0
GCF_022690295.1.fna,g__Staphylococcus (UID298),56,805,176,98.47,0.92,0.0,1966168,37615,2142,2143,1125,354,305,287,2701,2414,36.0,10.57,-100.0,-1,-1,9,792,4,0,0,0
GCF_022690325.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,1.06,0.0,1922599,36337,2087,2088,1122,353,306,288,2733,2455,36.2,10.86,-100.0,-1,-1,8,792,5,0,0,0
GCF_022690345.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.71,0.0,1891151,35514,2049,2050,1122,352,306,289,3082,2778,36.4,11.77,-100.0,-1,-1,8,795,2,0,0,0
GCF_022690375.1.fna,g__Staphylococcus (UID298),56,805,176,98.47,0.0,0.0,1958067,37584,2153,2154,1119,349,302,284,2733,2456,36.1,9.06,-100.0,-1,-1,9,796,0,0,0,0
GCF_022690385.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.64,33.33,2014859,38560,2205,2206,1119,352,303,286,2765,2556,36.1,9.34,-100.0,-1,-1,8,794,3,0,0,0
GCF_022690425.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.57,0.0,2002295,38264,2182,2183,1119,352,305,287,5746,5257,36.0,10.17,-100.0,-1,-1,8,796,1,0,0,0
GCF_025143205.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.57,0.0,1887788,35840,2039,2040,1131,354,307,290,2697,2420,36.2,9.49,-100.0,-1,-1,8,796,1,0,0,0
GCF_025143445.1.fna,g__Staphylococcus (UID298),56,805,176,98.94,1.08,0.0,1950790,37272,2112,2113,1125,354,307,289,2761,2551,36.2,9.74,-100.0,-1,-1,7,793,5,0,0,0
GCF_025143615.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.07,0.0,1956433,37466,2122,2123,1125,353,306,288,3515,3153,36.3,9.62,-100.0,-1,-1,8,796,1,0,0,0
GCF_029926865.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,1.21,0.0,1977382,37880,2154,2155,1125,352,305,287,3132,2828,36.1,10.73,-100.0,-1,-1,8,793,4,0,0,0
GCF_029926905.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,1.21,0.0,1977150,37874,2153,2154,1125,352,305,287,2876,2589,36.1,10.72,-100.0,-1,-1,8,793,4,0,0,0
GCF_029926915.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,1.19,0.0,1925960,36478,2088,2089,1122,352,306,288,2876,2589,36.2,11.28,-100.0,-1,-1,8,794,3,0,0,0
GCF_031631055.1.fna,g__Staphylococcus (UID298),56,805,176,98.68,0.65,0.0,1954095,37288,2130,2131,1122,351,304,287,2906,2615,36.2,10.9,-100.0,-1,-1,9,794,2,0,0,0
GCF_031727055.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.0,0.0,2021921,38838,2227,2228,1128,354,301,284,3516,3148,36.3,9.66,-100.0,-1,-1,8,797,0,0,0,0
GCF_031727075.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,1.42,0.0,1874510,35450,2018,2019,1125,353,308,291,2915,2629,36.2,11.02,-100.0,-1,-1,8,793,4,0,0,0
GCF_031727235.1.fna,g__Staphylococcus (UID298),56,805,176,98.47,0.02,0.0,1984064,38141,2164,2165,1125,353,304,286,2598,2339,36.2,10.13,-100.0,-1,-1,9,795,1,0,0,0
GCF_031727255.1.fna,g__Staphylococcus (UID298),56,805,176,98.47,0.92,0.0,1978935,37877,2155,2156,1125,354,305,287,2758,2467,35.9,9.8,-100.0,-1,-1,9,792,4,0,0,0
GCF_031727275.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.06,0.0,1984697,37875,2187,2188,1113,348,301,284,2733,2452,36.2,10.04,-100.0,-1,-1,8,795,2,0,0,0
GCF_031727355.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,1.14,33.33,1845920,34582,2000,2001,1122,353,307,289,3638,3306,36.3,10.51,-100.0,-1,-1,8,796,0,1,0,0
GCF_031727455.1.fna,g__Staphylococcus (UID298),56,805,176,98.18,0.85,0.0,1937099,36873,2151,2152,1107,346,298,281,1905,1708,36.2,9.35,-100.0,-1,-1,9,793,3,0,0,0
GCF_031727535.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.0,0.0,1967944,37814,2185,2186,1104,345,299,281,2598,2342,36.1,9.4,-100.0,-1,-1,8,797,0,0,0,0
GCF_031728075.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.57,0.0,2006383,38342,2202,2203,1116,351,302,285,3425,3150,36.0,11.3,-100.0,-1,-1,8,796,1,0,0,0
GCF_031728095.1.fna,g__Staphylococcus (UID298),56,805,176,98.67,0.07,0.0,1894197,35622,2051,2052,1119,352,306,289,2721,2445,36.2,11.99,-100.0,-1,-1,9,795,1,0,0,0
GCF_031728115.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.85,0.0,1894789,35884,2042,2043,1137,354,308,290,4026,3625,36.3,9.91,-100.0,-1,-1,8,794,3,0,0,0
GCF_031728155.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.71,0.0,1900901,35714,2053,2054,1125,354,307,290,3287,2975,36.3,9.79,-100.0,-1,-1,8,795,2,0,0,0
GCF_031728235.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,1.75,0.0,2063092,39947,2281,2282,1113,349,300,282,3059,2762,35.9,10.54,-100.0,-1,-1,8,793,4,0,0,0
GCF_031728275.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.0,0.0,1922936,36326,2108,2109,1119,350,303,285,2733,2449,36.3,9.61,-100.0,-1,-1,8,797,0,0,0,0
GCF_031728295.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.57,0.0,1858631,35043,2006,2007,1122,353,308,290,4365,3950,36.4,9.75,-100.0,-1,-1,8,796,1,0,0,0
GCF_031728315.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.57,0.0,1880920,35387,2035,2036,1125,353,307,289,2737,2460,36.2,9.55,-100.0,-1,-1,8,796,1,0,0,0
GCF_031728335.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.57,0.0,2001341,38261,2184,2185,1125,353,304,287,3062,2762,36.0,9.42,-100.0,-1,-1,8,796,1,0,0,0
GCF_031728415.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.14,0.0,2019251,39124,2229,2230,1116,351,300,283,2733,2452,36.1,8.98,-100.0,-1,-1,8,796,1,0,0,0
GCF_031728455.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.18,0.0,1910438,36115,2091,2092,1113,348,303,286,2733,2451,36.1,9.82,-100.0,-1,-1,8,795,2,0,0,0
GCF_031728475.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.57,0.0,1899424,35818,2046,2047,1131,354,308,290,3252,2939,36.2,10.71,-100.0,-1,-1,8,796,1,0,0,0
GCF_031728495.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.28,0.0,1899501,35822,2065,2066,1119,352,305,288,3516,3149,36.2,9.47,-100.0,-1,-1,8,795,2,0,0,0
GCF_031728515.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.0,0.0,2186562,42860,2396,2397,1134,354,303,285,3517,3151,35.9,9.6,-100.0,-1,-1,8,797,0,0,0,0
GCF_031728555.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.85,0.0,1900965,35937,2032,2033,1140,355,311,293,2863,2575,36.2,10.49,-100.0,-1,-1,8,794,3,0,0,0
GCF_031728675.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.0,0.0,1888997,35442,2066,2067,1107,348,303,286,2733,2451,36.2,12.05,-100.0,-1,-1,8,797,0,0,0,0
GCF_031728695.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.0,0.0,1930120,36533,2119,2120,1113,348,302,285,2769,2492,36.2,11.67,-100.0,-1,-1,8,797,0,0,0,0
GCF_031728715.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.0,0.0,1863812,35157,2004,2005,1122,353,309,291,2732,2457,36.4,9.62,-100.0,-1,-1,8,797,0,0,0,0
GCF_031728735.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.57,0.0,1951304,36981,2109,2110,1137,354,307,289,2756,2471,36.1,9.78,-100.0,-1,-1,8,796,1,0,0,0
GCF_031728745.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.85,0.0,1899736,35858,2035,2036,1131,354,310,292,3265,2953,36.2,11.77,-100.0,-1,-1,8,794,3,0,0,0
GCF_031728795.1.fna,g__Staphylococcus (UID298),56,805,176,98.47,0.92,0.0,1936534,36642,2086,2087,1128,354,308,290,2772,2490,36.2,11.41,-100.0,-1,-1,9,792,4,0,0,0
GCF_031728835.1.fna,g__Staphylococcus (UID298),56,805,176,98.33,0.92,0.0,1854217,34804,1983,1984,1137,354,311,293,3856,3474,36.2,9.92,-100.0,-1,-1,11,790,4,0,0,0
GCF_031728895.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.92,0.0,1945906,36974,2113,2114,1125,353,306,288,3516,3152,36.2,9.56,-100.0,-1,-1,8,793,4,0,0,0
GCF_031729015.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.0,0.0,1933510,36713,2130,2131,1107,348,301,284,2732,2457,36.3,10.28,-100.0,-1,-1,8,797,0,0,0,0
GCF_036419895.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.0,0.0,1928711,36594,2081,2082,1122,353,308,290,3098,3024,36.3,9.57,-100.0,-1,-1,8,797,0,0,0,0
GCF_036420075.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.57,0.0,1984481,37888,2128,2129,1140,356,310,292,5387,4895,36.2,11.73,-100.0,-1,-1,8,796,1,0,0,0
GCF_037694985.1.fna,g__Staphylococcus (UID298),56,805,176,98.94,3.24,16.0,2034029,38606,2446,2447,1074,339,276,260,2900,2614,36.2,9.12,-100.0,-1,-1,7,773,25,0,0,0
GCF_037695175.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.93,10.0,1973354,37494,2273,2274,1077,342,288,271,2733,2452,36.2,8.73,-100.0,-1,-1,8,787,10,0,0,0
GCF_037700135.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,3.93,38.46,1998986,37664,2417,2418,1086,342,274,259,2719,2443,36.4,11.12,-100.0,-1,-1,8,771,26,0,0,0
GCF_037700155.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,2.14,22.22,1931951,36473,2200,2201,1107,347,291,275,3116,2819,36.4,11.68,-100.0,-1,-1,8,779,18,0,0,0
GCF_037700295.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,3.58,23.81,1921641,36066,2228,2229,1095,345,286,270,2079,1860,36.4,10.74,-100.0,-1,-1,8,780,15,2,0,0
GCF_037700315.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,3.15,30.0,2006591,37905,2373,2374,1092,343,280,264,2654,2381,36.2,10.43,-100.0,-1,-1,8,777,20,0,0,0
GCF_037700375.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,1.68,53.85,1954988,36925,2248,2249,1095,344,289,272,2733,2452,36.3,10.57,-100.0,-1,-1,8,784,13,0,0,0
GCF_037700455.1.fna,g__Staphylococcus (UID298),56,805,176,98.69,1.41,33.33,1952624,36966,2235,2236,1095,344,290,273,2733,2452,36.2,10.39,-100.0,-1,-1,9,784,12,0,0,0
GCF_040947025.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.71,0.0,1916137,36230,2072,2073,1131,354,307,289,2733,2453,36.5,10.58,-100.0,-1,-1,8,795,2,0,0,0
GCF_040947065.1.fna,g__Staphylococcus (UID298),56,805,176,97.9,0.65,0.0,1934747,36724,2113,2113,1119,350,304,286,2732,2455,36.3,9.64,-100.0,-1,-1,10,793,2,0,0,0
GCF_040947125.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.05,0.0,1967007,37643,2170,2171,1113,348,301,283,3516,3149,36.2,8.97,-100.0,-1,-1,8,795,2,0,0,0
GCF_040947205.1.fna,g__Staphylococcus (UID298),56,805,176,98.47,0.57,0.0,1920608,36306,2087,2088,1131,354,306,288,2705,2429,36.3,9.76,-100.0,-1,-1,9,795,1,0,0,0
GCF_040947225.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.07,0.0,1883996,35654,2040,2041,1125,354,306,289,2733,2452,36.2,9.51,-100.0,-1,-1,8,796,1,0,0,0
GCF_040947605.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.88,0.0,1958601,37536,2143,2144,1113,349,304,286,2732,2455,36.2,9.92,-100.0,-1,-1,8,793,4,0,0,0
GCF_040947645.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.88,0.0,1957558,37538,2142,2143,1113,348,304,286,2732,2455,36.3,9.91,-100.0,-1,-1,8,793,4,0,0,0
GCF_047653515.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.88,0.0,1924079,36227,2071,2072,1140,356,308,291,5576,5093,36.1,10.75,-100.0,-1,-1,8,794,3,0,0,0
GCF_047653525.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.85,0.0,2001119,38197,2161,2162,1143,357,308,290,5730,5246,36.1,9.59,-100.0,-1,-1,8,795,2,0,0,0
GCF_052950835.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,1.22,0.0,1975288,37808,2139,2140,1125,352,307,289,2733,2452,36.2,12.69,-100.0,-1,-1,8,794,3,0,0,0
GCF_900458635.1.fna,g__Staphylococcus (UID298),56,805,176,98.61,0.59,50.0,1924638,36507,2081,2082,1125,354,307,289,3607,3449,36.1,11.52,-100.0,-1,-1,9,792,4,0,0,0
GCF_964211265.1.fna,g__Staphylococcus (UID298),56,805,176,98.75,0.0,0.0,1896997,35813,2056,2057,1125,353,306,289,3370,3051,36.3,10.88,-100.0,-1,-1,8,797,0,0,0,0
