genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
GCF_037700455.1.fna,1_24,0.0010000000000000009,average,fastANI,1
GCF_002901845.1.fna,1_25,0.0010000000000000009,average,fastANI,1
GCF_900458635.1.fna,1_25,0.0010000000000000009,average,fastANI,1
GCF_022689645.1.fna,1_26,0.0010000000000000009,average,fastANI,1
GCF_022689705.1.fna,1_26,0.0010000000000000009,average,fastANI,1
GCF_031727535.1.fna,1_27,0.0010000000000000009,average,fastANI,1
GCF_037695175.1.fna,1_27,0.0010000000000000009,average,fastANI,1
GCF_040947125.1.fna,1_28,0.0010000000000000009,average,fastANI,1
GCF_022690025.1.fna,1_29,0.0010000000000000009,average,fastANI,1
GCF_964211265.1.fna,1_30,0.0010000000000000009,average,fastANI,1
GCF_031728275.1.fna,1_31,0.0010000000000000009,average,fastANI,1
GCF_031727055.1.fna,1_32,0.0010000000000000009,average,fastANI,1
GCF_022690295.1.fna,1_33,0.0010000000000000009,average,fastANI,1
GCF_031727255.1.fna,1_33,0.0010000000000000009,average,fastANI,1
GCF_022689945.1.fna,1_34,0.0010000000000000009,average,fastANI,1
GCF_036420075.1.fna,1_34,0.0010000000000000009,average,fastANI,1
GCF_031728515.1.fna,1_35,0.0010000000000000009,average,fastANI,1
GCF_000269685.1.fna,1_36,0.0010000000000000009,average,fastANI,1
GCF_031728475.1.fna,1_37,0.0010000000000000009,average,fastANI,1
GCF_015274675.1.fna,1_38,0.0010000000000000009,average,fastANI,1
GCF_022689565.1.fna,1_39,0.0010000000000000009,average,fastANI,1
GCF_031727355.1.fna,1_40,0.0010000000000000009,average,fastANI,1
GCF_022689965.1.fna,1_41,0.0010000000000000009,average,fastANI,1
GCF_022690345.1.fna,1_42,0.0010000000000000009,average,fastANI,1
GCF_031728155.1.fna,1_43,0.0010000000000000009,average,fastANI,1
GCF_040947025.1.fna,1_44,0.0010000000000000009,average,fastANI,1
GCF_022689905.1.fna,1_45,0.0010000000000000009,average,fastANI,1
GCF_031728315.1.fna,1_45,0.0010000000000000009,average,fastANI,1
GCF_037694985.1.fna,1_46,0.0010000000000000009,average,fastANI,1
GCF_029926865.1.fna,1_47,0.0010000000000000009,average,fastANI,1
GCF_029926905.1.fna,1_47,0.0010000000000000009,average,fastANI,1
GCF_029926915.1.fna,1_47,0.0010000000000000009,average,fastANI,1
GCF_022690425.1.fna,1_48,0.0010000000000000009,average,fastANI,1
GCF_031728075.1.fna,1_48,0.0010000000000000009,average,fastANI,1
GCF_037700155.1.fna,1_49,0.0010000000000000009,average,fastANI,1
GCF_037700295.1.fna,1_49,0.0010000000000000009,average,fastANI,1
GCF_017315645.1.fna,1_50,0.0010000000000000009,average,fastANI,1
GCF_031728295.1.fna,1_51,0.0010000000000000009,average,fastANI,1
GCF_047653515.1.fna,1_52,0.0010000000000000009,average,fastANI,1
GCF_022689765.1.fna,1_53,0.0010000000000000009,average,fastANI,1
GCF_022689825.1.fna,1_53,0.0010000000000000009,average,fastANI,1
GCF_022689975.1.fna,1_53,0.0010000000000000009,average,fastANI,1
GCF_022690385.1.fna,1_54,0.0010000000000000009,average,fastANI,1
GCF_022689845.1.fna,1_55,0.0010000000000000009,average,fastANI,1
GCF_037700135.1.fna,1_55,0.0010000000000000009,average,fastANI,1
GCF_022690245.1.fna,1_56,0.0010000000000000009,average,fastANI,1
GCF_022689615.1.fna,1_57,0.0010000000000000009,average,fastANI,1
GCF_022689675.1.fna,1_57,0.0010000000000000009,average,fastANI,1
GCF_022689745.1.fna,1_57,0.0010000000000000009,average,fastANI,1
GCF_031727075.1.fna,1_57,0.0010000000000000009,average,fastANI,1
GCF_031728235.1.fna,1_58,0.0010000000000000009,average,fastANI,1
GCF_015274535.1.fna,1_59,0.0010000000000000009,average,fastANI,1
GCF_015274585.1.fna,1_59,0.0010000000000000009,average,fastANI,1
GCF_015274655.1.fna,1_59,0.0010000000000000009,average,fastANI,1
GCF_022690065.1.fna,1_60,0.0010000000000000009,average,fastANI,1
GCF_022690145.1.fna,1_60,0.0010000000000000009,average,fastANI,1
GCF_022690165.1.fna,1_60,0.0010000000000000009,average,fastANI,1
GCF_022690265.1.fna,1_60,0.0010000000000000009,average,fastANI,1
GCF_025143205.1.fna,1_60,0.0010000000000000009,average,fastANI,1
GCF_031728555.1.fna,1_60,0.0010000000000000009,average,fastANI,1
GCF_031728835.1.fna,1_61,0.0010000000000000009,average,fastANI,1
GCF_040947605.1.fna,1_62,0.0010000000000000009,average,fastANI,1
GCF_040947645.1.fna,1_62,0.0010000000000000009,average,fastANI,1
GCF_022690275.1.fna,1_63,0.0010000000000000009,average,fastANI,1
GCF_022690105.1.fna,1_64,0.0010000000000000009,average,fastANI,1
GCF_031728335.1.fna,1_64,0.0010000000000000009,average,fastANI,1
GCF_031728115.1.fna,1_65,0.0010000000000000009,average,fastANI,1
GCF_031728745.1.fna,1_66,0.0010000000000000009,average,fastANI,1
GCF_040947205.1.fna,1_67,0.0010000000000000009,average,fastANI,1
GCF_047653525.1.fna,1_68,0.0010000000000000009,average,fastANI,1
GCF_017315625.1.fna,1_69,0.0010000000000000009,average,fastANI,1
GCF_031728735.1.fna,1_70,0.0010000000000000009,average,fastANI,1
GCF_022690115.1.fna,1_71,0.0010000000000000009,average,fastANI,1
