genome,score,completeness,contamination,strain_heterogeneity,size,N50,cluster,taxonomy,tax_confidence,cluster_members,closest_cluster_member,furthest_cluster_member,completeness_metric,contamination_metric
GCF_031728095.1.fna,98.84541504326418,98.67,0.07,0.0,1894197,1119,1_20,NA,NA,1,NA,NA,near,low
GCF_022690375.1.fna,98.99541504326416,98.47,0.0,0.0,1958067,1119,1_21,NA,NA,1,NA,NA,near,none
GCF_022689855.1.fna,99.8965762612237,98.47,0.02,0.0,1979148,1125,1_22,NA,NA,2,100.00,100.00,near,low
GCF_022689665.1.fna,94.57424758216736,98.75,1.14,0.0,1936133,1113,1_23,NA,NA,3,100.00,100.00,near,low
GCF_037700455.1.fna,93.63002505958808,98.69,1.41,33.33,1952624,1095,1_24,NA,NA,2,99.94,99.94,near,low
GCF_002901845.1.fna,99.2848320973008,98.61,0.17,0.0,1898405,1116,1_25,NA,NA,2,100.00,100.00,near,low
GCF_022689645.1.fna,98.72424758216737,98.75,0.31,0.0,1950259,1113,1_26,NA,NA,2,100.00,100.00,near,low
GCF_031727535.1.fna,100.2723025366966,98.75,0.0,0.0,1967944,1104,1_27,NA,NA,2,99.98,99.98,near,none
GCF_040947125.1.fna,99.02424758216736,98.75,0.05,0.0,1967007,1113,1_28,NA,NA,1,NA,NA,near,low
GCF_022690025.1.fna,99.2748320973008,98.75,0.0,0.0,1937729,1116,1_29,NA,NA,1,NA,NA,near,none
GCF_964211265.1.fna,99.2765762612237,98.75,0.0,0.0,1896997,1125,1_30,NA,NA,1,NA,NA,near,none
GCF_031728275.1.fna,99.27541504326418,98.75,0.0,0.0,1922936,1119,1_31,NA,NA,1,NA,NA,near,none
GCF_031727055.1.fna,99.27715454982366,98.75,0.0,0.0,2021921,1128,1_32,NA,NA,1,NA,NA,near,none
GCF_022690295.1.fna,95.3965762612237,98.47,0.92,0.0,1966168,1125,1_33,NA,NA,2,100.00,100.00,near,low
GCF_036420075.1.fna,97.42940542566824,98.75,0.57,0.0,1984481,1140,1_34,NA,NA,2,100.00,100.00,near,low
GCF_031728515.1.fna,99.27830652727845,98.75,0.0,0.0,2186562,1134,1_35,NA,NA,1,NA,NA,near,none
GCF_000269685.1.fna,96.4265762612237,98.75,0.57,0.0,2012709,1125,1_36,NA,NA,1,NA,NA,near,low
GCF_031728475.1.fna,96.42773130246272,98.75,0.57,0.0,1899424,1131,1_37,NA,NA,1,NA,NA,near,low
GCF_015274675.1.fna,96.42945242566825,98.75,0.57,0.0,1944078,1140,1_38,NA,NA,1,NA,NA,near,low
GCF_022689565.1.fna,93.95595842846008,98.75,1.14,33.33,1841582,1122,1_39,NA,NA,1,NA,NA,near,low
GCF_031727355.1.fna,93.95595842846008,98.75,1.14,33.33,1845920,1122,1_40,NA,NA,1,NA,NA,near,low
GCF_022689965.1.fna,93.8165382612237,98.61,1.14,33.33,1898235,1125,1_41,NA,NA,1,NA,NA,near,low
GCF_022690345.1.fna,95.72599642846008,98.75,0.71,0.0,1891151,1122,1_42,NA,NA,1,NA,NA,near,low
GCF_031728155.1.fna,95.7265762612237,98.75,0.71,0.0,1900901,1125,1_43,NA,NA,1,NA,NA,near,low
GCF_040947025.1.fna,95.72773130246271,98.75,0.71,0.0,1916137,1131,1_44,NA,NA,1,NA,NA,near,low
GCF_031728315.1.fna,97.4260322612237,98.75,0.57,0.0,1880920,1125,1_45,NA,NA,2,99.95,99.95,near,low
GCF_037694985.1.fna,83.77490214068177,98.94,3.24,16.0,2034029,1074,1_46,NA,NA,1,NA,NA,near,low
GCF_029926915.1.fna,94.32579492846008,98.75,1.19,0.0,1925960,1122,1_47,NA,NA,3,100.00,99.96,near,low
GCF_031728075.1.fna,97.4248320973008,98.75,0.57,0.0,2006383,1116,1_48,NA,NA,2,100.00,100.00,near,low
GCF_037700155.1.fna,90.04776081043937,98.75,2.14,22.22,1931951,1107,1_49,NA,NA,2,99.92,99.92,near,low
GCF_017315645.1.fna,96.42773130246272,98.75,0.57,0.0,1877678,1131,1_50,NA,NA,1,NA,NA,near,low
GCF_031728295.1.fna,96.42599642846008,98.75,0.57,0.0,1858631,1122,1_51,NA,NA,1,NA,NA,near,low
GCF_047653515.1.fna,94.87945242566823,98.75,0.88,0.0,1924079,1140,1_52,NA,NA,1,NA,NA,near,low
GCF_022689975.1.fna,97.12541504326416,98.75,0.63,0.0,1963466,1119,1_53,NA,NA,3,100.00,100.00,near,low
GCF_022690385.1.fna,96.28872704326416,98.75,0.64,33.33,2014859,1119,1_54,NA,NA,1,NA,NA,near,low
GCF_022689845.1.fna,94.57587042846006,98.18,1.14,50.0,1949147,1122,1_55,NA,NA,2,99.99,99.99,near,low
GCF_022690245.1.fna,96.42945242566825,98.75,0.57,0.0,1864885,1140,1_56,NA,NA,1,NA,NA,near,low
GCF_031727075.1.fna,93.1762682612237,98.75,1.42,0.0,1874510,1125,1_57,NA,NA,4,99.99,99.95,near,low
GCF_031728235.1.fna,90.52424758216736,98.75,1.75,0.0,2063092,1113,1_58,NA,NA,1,NA,NA,near,low
GCF_015274535.1.fna,97.04690254982368,98.37,0.57,0.0,1932399,1128,1_59,NA,NA,3,100.00,99.95,near,low
GCF_025143205.1.fna,97.42673450246272,98.75,0.57,0.0,1887788,1131,1_60,NA,NA,6,99.94,99.88,near,low
GCF_031728835.1.fna,94.25888023234388,98.33,0.92,0.0,1854217,1137,1_61,NA,NA,1,NA,NA,near,low
GCF_040947605.1.fna,95.87424758216736,98.75,0.88,0.0,1958601,1113,1_62,NA,NA,2,100.00,100.00,near,low
GCF_022690275.1.fna,96.42715454982368,98.75,0.57,0.0,1908825,1128,1_63,NA,NA,1,NA,NA,near,low
GCF_022690105.1.fna,97.4265762612237,98.75,0.57,0.0,1916913,1125,1_64,NA,NA,2,100.00,100.00,near,low
GCF_031728115.1.fna,95.02888023234388,98.75,0.85,0.0,1894789,1137,1_65,NA,NA,1,NA,NA,near,low
GCF_031728745.1.fna,95.02773130246273,98.75,0.85,0.0,1899736,1131,1_66,NA,NA,1,NA,NA,near,low
GCF_040947205.1.fna,96.14773130246272,98.47,0.57,0.0,1920608,1131,1_67,NA,NA,1,NA,NA,near,low
GCF_047653525.1.fna,95.03002311519764,98.75,0.85,0.0,2001119,1143,1_68,NA,NA,1,NA,NA,near,low
GCF_017315625.1.fna,96.32657626122368,98.75,0.59,0.0,1865831,1125,1_69,NA,NA,1,NA,NA,near,low
GCF_031728735.1.fna,96.42888023234389,98.75,0.57,0.0,1951304,1137,1_70,NA,NA,1,NA,NA,near,low
GCF_022690115.1.fna,95.87657626122368,98.75,0.68,0.0,1938380,1125,1_71,NA,NA,1,NA,NA,near,low
