genome1,genome2,dist,similarity
GCF_031728795.1.fna,GCF_022690045.1.fna,0.008927941,0.99107206
GCF_031728555.1.fna,GCF_022690045.1.fna,0.021639287,0.9783607
GCF_029926865.1.fna,GCF_022690045.1.fna,0.021991313,0.9780087
GCF_040947225.1.fna,GCF_022690045.1.fna,0.0065935254,0.9934065
GCF_031728695.1.fna,GCF_022690045.1.fna,0.007669866,0.99233013
GCF_022689665.1.fna,GCF_022690045.1.fna,0.008771062,0.99122894
GCF_029926915.1.fna,GCF_022690045.1.fna,0.020950079,0.9790499
GCF_031728315.1.fna,GCF_022690045.1.fna,0.020345926,0.9796541
GCF_031727255.1.fna,GCF_022690045.1.fna,0.023301423,0.9766986
GCF_022690205.1.fna,GCF_022690045.1.fna,0.005741477,0.9942585
GCF_031727455.1.fna,GCF_022690045.1.fna,0.022930622,0.9770694
GCF_022690025.1.fna,GCF_022690045.1.fna,0.009165645,0.99083436
GCF_031727075.1.fna,GCF_022690045.1.fna,0.020412326,0.9795877
GCF_022690145.1.fna,GCF_022690045.1.fna,0.02156949,0.9784305
GCF_002901845.1.fna,GCF_022690045.1.fna,0.008117974,0.991882
GCF_022689825.1.fna,GCF_022690045.1.fna,0.02115482,0.9788452
GCF_031728675.1.fna,GCF_022690045.1.fna,0.006874621,0.9931254
GCF_047653525.1.fna,GCF_022690045.1.fna,0.02115482,0.9788452
GCF_022690085.1.fna,GCF_022690045.1.fna,0.022930622,0.9770694
GCF_037700135.1.fna,GCF_022690045.1.fna,0.021920502,0.9780795
GCF_025143205.1.fna,GCF_022690045.1.fna,0.021086395,0.9789136
GCF_031728895.1.fna,GCF_022690045.1.fna,0.008155823,0.9918442
GCF_040947605.1.fna,GCF_022690045.1.fna,0.020679712,0.9793203
GCF_031727355.1.fna,GCF_022690045.1.fna,0.019886196,0.9801138
GCF_015274675.1.fna,GCF_022690045.1.fna,0.021991313,0.9780087
GCF_036420075.1.fna,GCF_022690045.1.fna,0.022710681,0.9772893
GCF_013267575.1.fna,GCF_022690045.1.fna,0.007304251,0.99269575
GCF_031727055.1.fna,GCF_022690045.1.fna,0.012167871,0.9878321
GCF_037700375.1.fna,GCF_022690045.1.fna,0.008615434,0.99138457
GCF_022690005.1.fna,GCF_022690045.1.fna,2.3841858e-05,0.99997616
GCF_031631055.1.fna,GCF_022690045.1.fna,0.012967706,0.9870323
GCF_031728495.1.fna,GCF_022690045.1.fna,0.0072319508,0.99276805
GCF_964211265.1.fna,GCF_022690045.1.fna,0.009086072,0.9909139
GCF_031727535.1.fna,GCF_022690045.1.fna,0.008384287,0.9916157
GCF_025143445.1.fna,GCF_022690045.1.fna,0.007855296,0.9921447
GCF_022689855.1.fna,GCF_022690045.1.fna,0.009245515,0.9907545
GCF_022689725.1.fna,GCF_022690045.1.fna,0.008771062,0.99122894
GCF_031727275.1.fna,GCF_022690045.1.fna,0.0075961947,0.9924038
GCF_031728235.1.fna,GCF_022690045.1.fna,0.023004293,0.9769957
GCF_040947205.1.fna,GCF_022690045.1.fna,0.020213723,0.9797863
GCF_031727235.1.fna,GCF_022690045.1.fna,0.00920558,0.9907944
GCF_022690165.1.fna,GCF_022690045.1.fna,0.021639287,0.9783607
GCF_031728075.1.fna,GCF_022690045.1.fna,0.021292329,0.9787077
GCF_022689965.1.fna,GCF_022690045.1.fna,0.019691885,0.9803081
GCF_022689575.1.fna,GCF_022690045.1.fna,0.008810163,0.99118984
GCF_037694985.1.fna,GCF_022690045.1.fna,0.021991313,0.9780087
GCF_022690185.1.fna,GCF_022690045.1.fna,0.00448668,0.9955133
GCF_031728335.1.fna,GCF_022690045.1.fna,0.021779478,0.9782205
GCF_031728095.1.fna,GCF_022690045.1.fna,0.007088244,0.99291176
GCF_022690385.1.fna,GCF_022690045.1.fna,0.021639287,0.9783607
GCF_022690425.1.fna,GCF_022690045.1.fna,0.021223426,0.9787766
GCF_022690375.1.fna,GCF_022690045.1.fna,0.008810163,0.99118984
GCF_022689675.1.fna,GCF_022690045.1.fna,0.020345926,0.9796541
GCF_022690245.1.fna,GCF_022690045.1.fna,0.02115482,0.9788452
GCF_037700295.1.fna,GCF_022690045.1.fna,0.020545602,0.9794544
GCF_015274535.1.fna,GCF_022690045.1.fna,0.021086395,0.9789136
GCF_022689845.1.fna,GCF_022690045.1.fna,0.021639287,0.9783607
GCF_022689745.1.fna,GCF_022690045.1.fna,0.020412326,0.9795877
GCF_022689925.1.fna,GCF_022690045.1.fna,0.023753703,0.9762463
GCF_015274655.1.fna,GCF_022690045.1.fna,0.021086395,0.9789136
GCF_022690325.1.fna,GCF_022690045.1.fna,0.007929981,0.99207
GCF_022689785.1.fna,GCF_022690045.1.fna,0.005575657,0.99442434
GCF_031728155.1.fna,GCF_022690045.1.fna,0.020747006,0.979253
GCF_037700455.1.fna,GCF_022690045.1.fna,0.008732021,0.991268
GCF_022689905.1.fna,GCF_022690045.1.fna,0.020412326,0.9795877
GCF_022690105.1.fna,GCF_022690045.1.fna,0.021018088,0.9789819
GCF_022689975.1.fna,GCF_022690045.1.fna,0.02115482,0.9788452
GCF_022689705.1.fna,GCF_022690045.1.fna,0.009325743,0.99067426
GCF_031728835.1.fna,GCF_022690045.1.fna,0.021086395,0.9789136
GCF_031728115.1.fna,GCF_022690045.1.fna,0.021018088,0.9789819
GCF_022689775.1.fna,GCF_022690045.1.fna,0.0046427846,0.9953572
GCF_031728455.1.fna,GCF_022690045.1.fna,0.0072319508,0.99276805
GCF_025143615.1.fna,GCF_022690045.1.fna,0.005476892,0.9945231
GCF_052950835.1.fna,GCF_022690045.1.fna,0.0134035945,0.9865964
GCF_040947125.1.fna,GCF_022690045.1.fna,0.009285569,0.99071443
GCF_017315645.1.fna,GCF_022690045.1.fna,0.020213723,0.9797863
GCF_040947645.1.fna,GCF_022690045.1.fna,0.020679712,0.9793203
GCF_022690345.1.fna,GCF_022690045.1.fna,0.020679712,0.9793203
GCF_022689645.1.fna,GCF_022690045.1.fna,0.008615434,0.99138457
GCF_022690295.1.fna,GCF_022690045.1.fna,0.023226798,0.9767732
GCF_031728715.1.fna,GCF_022690045.1.fna,0.0044246316,0.99557537
GCF_031728295.1.fna,GCF_022690045.1.fna,0.020545602,0.9794544
GCF_040947065.1.fna,GCF_022690045.1.fna,0.012306809,0.9876932
GCF_037695175.1.fna,GCF_022690045.1.fna,0.009527624,0.9904724
GCF_031728475.1.fna,GCF_022690045.1.fna,0.02088219,0.9791178
GCF_022690045.1.fna,GCF_017315625.1.fna,0.018992484,0.9810075
GCF_017315625.1.fna,GCF_017315625.1.fna,0.0,1.0
GCF_900458635.1.fna,GCF_017315625.1.fna,0.019499123,0.9805009
GCF_022689565.1.fna,GCF_017315625.1.fna,0.010187805,0.9898122
GCF_029926905.1.fna,GCF_017315625.1.fna,0.011620998,0.988379
GCF_040947025.1.fna,GCF_017315625.1.fna,0.010697424,0.9893026
GCF_022690065.1.fna,GCF_017315625.1.fna,0.009446621,0.9905534
GCF_022689765.1.fna,GCF_017315625.1.fna,0.009446621,0.9905534
GCF_022690265.1.fna,GCF_017315625.1.fna,0.009165645,0.99083436
GCF_022689615.1.fna,GCF_017315625.1.fna,0.00920558,0.9907944
GCF_031728745.1.fna,GCF_017315625.1.fna,0.008422613,0.9915774
GCF_022690275.1.fna,GCF_017315625.1.fna,0.009896278,0.9901037
GCF_047653515.1.fna,GCF_017315625.1.fna,0.009813786,0.9901862
GCF_031728275.1.fna,GCF_017315625.1.fna,0.020345926,0.9796541
GCF_022690115.1.fna,GCF_017315625.1.fna,0.014975905,0.9850241
GCF_031728735.1.fna,GCF_017315625.1.fna,0.009979129,0.9900209
GCF_036419895.1.fna,GCF_017315625.1.fna,0.019563198,0.9804368
GCF_000269685.1.fna,GCF_017315625.1.fna,0.010526121,0.9894739
GCF_031728515.1.fna,GCF_017315625.1.fna,0.013208687,0.9867913
GCF_037700155.1.fna,GCF_017315625.1.fna,0.009690642,0.99030936
GCF_022690225.1.fna,GCF_017315625.1.fna,0.020612597,0.9793874
GCF_022689945.1.fna,GCF_017315625.1.fna,0.011531293,0.9884687
GCF_015274585.1.fna,GCF_017315625.1.fna,0.010654509,0.9893455
GCF_031728415.1.fna,GCF_017315625.1.fna,0.020747006,0.979253
GCF_031729015.1.fna,GCF_017315625.1.fna,0.019563198,0.9804368
GCF_037700315.1.fna,GCF_017315625.1.fna,0.02088219,0.9791178
GCF_031728795.1.fna,GCF_017315625.1.fna,0.01937139,0.9806286
GCF_031728555.1.fna,GCF_017315625.1.fna,0.009406269,0.99059373
GCF_029926865.1.fna,GCF_017315625.1.fna,0.011620998,0.988379
GCF_040947225.1.fna,GCF_017315625.1.fna,0.018929899,0.9810701
GCF_031728695.1.fna,GCF_017315625.1.fna,0.019886196,0.9801138
GCF_022689665.1.fna,GCF_017315625.1.fna,0.019886196,0.9801138
GCF_029926915.1.fna,GCF_017315625.1.fna,0.010870218,0.9891298
GCF_031728315.1.fna,GCF_017315625.1.fna,0.008927941,0.99107206
GCF_031727255.1.fna,GCF_017315625.1.fna,0.011938274,0.9880617
GCF_022690205.1.fna,GCF_017315625.1.fna,0.020412326,0.9795877
GCF_031727455.1.fna,GCF_017315625.1.fna,0.02622658,0.9737734
GCF_022690025.1.fna,GCF_017315625.1.fna,0.020345926,0.9796541
GCF_031727075.1.fna,GCF_017315625.1.fna,0.009245515,0.9907545
GCF_022690145.1.fna,GCF_017315625.1.fna,0.009406269,0.99059373
GCF_002901845.1.fna,GCF_017315625.1.fna,0.019435227,0.9805648
GCF_022689825.1.fna,GCF_017315625.1.fna,0.009446621,0.9905534
GCF_031728675.1.fna,GCF_017315625.1.fna,0.019627512,0.9803725
GCF_047653525.1.fna,GCF_017315625.1.fna,0.008849382,0.9911506
GCF_022690085.1.fna,GCF_017315625.1.fna,0.025976717,0.9740233
GCF_037700135.1.fna,GCF_017315625.1.fna,0.009896278,0.9901037
GCF_025143205.1.fna,GCF_017315625.1.fna,0.009245515,0.9907545
GCF_031728895.1.fna,GCF_017315625.1.fna,0.019499123,0.9805009
GCF_040947605.1.fna,GCF_017315625.1.fna,0.008771062,0.99122894
GCF_031727355.1.fna,GCF_017315625.1.fna,0.010271788,0.9897282
GCF_015274675.1.fna,GCF_017315625.1.fna,0.010313988,0.989686
GCF_036420075.1.fna,GCF_017315625.1.fna,0.011486471,0.9885135
GCF_013267575.1.fna,GCF_017315625.1.fna,0.019691885,0.9803081
GCF_031727055.1.fna,GCF_017315625.1.fna,0.021920502,0.9780795
GCF_037700375.1.fna,GCF_017315625.1.fna,0.020545602,0.9794544
GCF_022690005.1.fna,GCF_017315625.1.fna,0.018992484,0.9810075
GCF_031631055.1.fna,GCF_017315625.1.fna,0.019563198,0.9804368
GCF_031728495.1.fna,GCF_017315625.1.fna,0.019055188,0.9809448
GCF_964211265.1.fna,GCF_017315625.1.fna,0.019691885,0.9803081
GCF_031727535.1.fna,GCF_017315625.1.fna,0.020747006,0.979253
GCF_025143445.1.fna,GCF_017315625.1.fna,0.019691885,0.9803081
GCF_022689855.1.fna,GCF_017315625.1.fna,0.020082176,0.9799178
GCF_022689725.1.fna,GCF_017315625.1.fna,0.019886196,0.9801138
GCF_031727275.1.fna,GCF_017315625.1.fna,0.0201478,0.9798522
GCF_031728235.1.fna,GCF_017315625.1.fna,0.011847079,0.9881529
GCF_040947205.1.fna,GCF_017315625.1.fna,0.009165645,0.99083436
GCF_031727235.1.fna,GCF_017315625.1.fna,0.02001667,0.9799833
GCF_022690165.1.fna,GCF_017315625.1.fna,0.009446621,0.9905534
GCF_031728075.1.fna,GCF_017315625.1.fna,0.011000693,0.9889993
GCF_022689965.1.fna,GCF_017315625.1.fna,0.010062277,0.9899377
GCF_022689575.1.fna,GCF_017315625.1.fna,0.019951403,0.9800486
GCF_037694985.1.fna,GCF_017315625.1.fna,0.009937644,0.99006236
GCF_022690185.1.fna,GCF_017315625.1.fna,0.019691885,0.9803081
GCF_031728335.1.fna,GCF_017315625.1.fna,0.010187805,0.9898122
GCF_031728095.1.fna,GCF_017315625.1.fna,0.020747006,0.979253
GCF_022690385.1.fna,GCF_017315625.1.fna,0.010313988,0.989686
GCF_022690425.1.fna,GCF_017315625.1.fna,0.010957122,0.9890429
GCF_022690375.1.fna,GCF_017315625.1.fna,0.020279706,0.9797203
GCF_022689675.1.fna,GCF_017315625.1.fna,0.009325743,0.99067426
GCF_022690245.1.fna,GCF_017315625.1.fna,0.009046435,0.99095356
GCF_037700295.1.fna,GCF_017315625.1.fna,0.009608984,0.990391
GCF_015274535.1.fna,GCF_017315625.1.fna,0.010654509,0.9893455
GCF_022689845.1.fna,GCF_017315625.1.fna,0.009731591,0.9902684
GCF_022689745.1.fna,GCF_017315625.1.fna,0.009245515,0.9907545
GCF_022689925.1.fna,GCF_017315625.1.fna,0.027337492,0.9726625
GCF_015274655.1.fna,GCF_017315625.1.fna,0.010654509,0.9893455
GCF_022690325.1.fna,GCF_017315625.1.fna,0.018131316,0.9818687
GCF_022689785.1.fna,GCF_017315625.1.fna,0.019055188,0.9809448
GCF_031728155.1.fna,GCF_017315625.1.fna,0.009527624,0.9904724
GCF_037700455.1.fna,GCF_017315625.1.fna,0.020545602,0.9794544
GCF_022689905.1.fna,GCF_017315625.1.fna,0.009046435,0.99095356
GCF_022690105.1.fna,GCF_017315625.1.fna,0.009813786,0.9901862
GCF_022689975.1.fna,GCF_017315625.1.fna,0.0094870925,0.9905129
GCF_022689705.1.fna,GCF_017315625.1.fna,0.021086395,0.9789136
GCF_031728835.1.fna,GCF_017315625.1.fna,0.008732021,0.991268
GCF_031728115.1.fna,GCF_017315625.1.fna,0.01010412,0.9898959
GCF_022689775.1.fna,GCF_017315625.1.fna,0.0201478,0.9798522
GCF_031728455.1.fna,GCF_017315625.1.fna,0.019499123,0.9805009
GCF_025143615.1.fna,GCF_017315625.1.fna,0.020279706,0.9797203
GCF_052950835.1.fna,GCF_017315625.1.fna,0.019181192,0.9808188
GCF_040947125.1.fna,GCF_017315625.1.fna,0.020814478,0.9791855
GCF_017315645.1.fna,GCF_017315625.1.fna,0.008810163,0.99118984
GCF_040947645.1.fna,GCF_017315625.1.fna,0.008810163,0.99118984
GCF_022690345.1.fna,GCF_017315625.1.fna,0.009527624,0.9904724
GCF_022689645.1.fna,GCF_017315625.1.fna,0.020814478,0.9791855
GCF_022690295.1.fna,GCF_017315625.1.fna,0.011938274,0.9880617
GCF_031728715.1.fna,GCF_017315625.1.fna,0.018867493,0.9811325
GCF_031728295.1.fna,GCF_017315625.1.fna,0.008693099,0.9913069
GCF_040947065.1.fna,GCF_017315625.1.fna,0.019244492,0.9807555
GCF_037695175.1.fna,GCF_017315625.1.fna,0.02088219,0.9791178
GCF_031728475.1.fna,GCF_017315625.1.fna,0.010062277,0.9899377
GCF_022690045.1.fna,GCF_900458635.1.fna,0.008155823,0.9918442
GCF_017315625.1.fna,GCF_900458635.1.fna,0.019499123,0.9805009
GCF_900458635.1.fna,GCF_900458635.1.fna,0.0,1.0
GCF_022689565.1.fna,GCF_900458635.1.fna,0.020679712,0.9793203
GCF_029926905.1.fna,GCF_900458635.1.fna,0.02156949,0.9784305
GCF_040947025.1.fna,GCF_900458635.1.fna,0.02115482,0.9788452
GCF_022690065.1.fna,GCF_900458635.1.fna,0.020679712,0.9793203
GCF_022689765.1.fna,GCF_900458635.1.fna,0.021991313,0.9780087
GCF_022690265.1.fna,GCF_900458635.1.fna,0.021086395,0.9789136
GCF_022689615.1.fna,GCF_900458635.1.fna,0.02115482,0.9788452
GCF_031728745.1.fna,GCF_900458635.1.fna,0.019951403,0.9800486
GCF_022690275.1.fna,GCF_900458635.1.fna,0.021991313,0.9780087
GCF_047653515.1.fna,GCF_900458635.1.fna,0.020814478,0.9791855
GCF_031728275.1.fna,GCF_900458635.1.fna,0.008193672,0.9918063
GCF_022690115.1.fna,GCF_900458635.1.fna,0.023301423,0.9766986
GCF_031728735.1.fna,GCF_900458635.1.fna,0.02115482,0.9788452
GCF_036419895.1.fna,GCF_900458635.1.fna,0.007892609,0.9921074
GCF_000269685.1.fna,GCF_900458635.1.fna,0.022710681,0.9772893
GCF_031728515.1.fna,GCF_900458635.1.fna,0.023301423,0.9766986
GCF_037700155.1.fna,GCF_900458635.1.fna,0.021292329,0.9787077
GCF_022690225.1.fna,GCF_900458635.1.fna,0.010483503,0.9895165
GCF_022689945.1.fna,GCF_900458635.1.fna,0.022637784,0.9773622
GCF_015274585.1.fna,GCF_900458635.1.fna,0.020612597,0.9793874
GCF_031728415.1.fna,GCF_900458635.1.fna,0.008771062,0.99122894
GCF_031729015.1.fna,GCF_900458635.1.fna,0.0077438354,0.99225616
GCF_037700315.1.fna,GCF_900458635.1.fna,0.007929981,0.99207
GCF_031728795.1.fna,GCF_900458635.1.fna,0.009046435,0.99095356
GCF_031728555.1.fna,GCF_900458635.1.fna,0.020679712,0.9793203
GCF_029926865.1.fna,GCF_900458635.1.fna,0.02156949,0.9784305
GCF_040947225.1.fna,GCF_900458635.1.fna,0.008345962,0.99165404
GCF_031728695.1.fna,GCF_900458635.1.fna,0.0068392754,0.9931607
GCF_022689665.1.fna,GCF_900458635.1.fna,0.0063854456,0.99361455
GCF_029926915.1.fna,GCF_900458635.1.fna,0.020814478,0.9791855
GCF_031728315.1.fna,GCF_900458635.1.fna,0.020747006,0.979253
GCF_031727255.1.fna,GCF_900458635.1.fna,0.022637784,0.9773622
GCF_022690205.1.fna,GCF_900458635.1.fna,0.008693099,0.9913069
GCF_031727455.1.fna,GCF_900458635.1.fna,0.023152411,0.9768476
GCF_022690025.1.fna,GCF_900458635.1.fna,0.0066984296,0.9933016
GCF_031727075.1.fna,GCF_900458635.1.fna,0.021086395,0.9789136
GCF_022690145.1.fna,GCF_900458635.1.fna,0.020747006,0.979253
GCF_002901845.1.fna,GCF_900458635.1.fna,0.00014352798,0.9998565
GCF_022689825.1.fna,GCF_900458635.1.fna,0.021991313,0.9780087
GCF_031728675.1.fna,GCF_900458635.1.fna,0.0064199567,0.99358004
GCF_047653525.1.fna,GCF_900458635.1.fna,0.021430492,0.9785695
GCF_022690085.1.fna,GCF_900458635.1.fna,0.022710681,0.9772893
GCF_037700135.1.fna,GCF_900458635.1.fna,0.022348404,0.9776516
GCF_025143205.1.fna,GCF_900458635.1.fna,0.02088219,0.9791178
GCF_031728895.1.fna,GCF_900458635.1.fna,0.007929981,0.99207
GCF_040947605.1.fna,GCF_900458635.1.fna,0.021018088,0.9789819
GCF_031727355.1.fna,GCF_900458635.1.fna,0.020612597,0.9793874
GCF_015274675.1.fna,GCF_900458635.1.fna,0.02184987,0.9781501
GCF_036420075.1.fna,GCF_900458635.1.fna,0.022492707,0.9775073
GCF_013267575.1.fna,GCF_900458635.1.fna,0.006350994,0.993649
GCF_031727055.1.fna,GCF_900458635.1.fna,0.008810163,0.99118984
GCF_037700375.1.fna,GCF_900458635.1.fna,0.005087137,0.99491286
GCF_022690005.1.fna,GCF_900458635.1.fna,0.008193672,0.9918063
GCF_031631055.1.fna,GCF_900458635.1.fna,0.010740519,0.9892595
GCF_031728495.1.fna,GCF_900458635.1.fna,0.0067335367,0.99326646
GCF_964211265.1.fna,GCF_900458635.1.fna,0.006350994,0.993649
GCF_031727535.1.fna,GCF_900458635.1.fna,0.0061455965,0.9938544
GCF_025143445.1.fna,GCF_900458635.1.fna,0.007268071,0.9927319
GCF_022689855.1.fna,GCF_900458635.1.fna,0.007818103,0.9921819
GCF_022689725.1.fna,GCF_900458635.1.fna,0.0063854456,0.99361455
GCF_031727275.1.fna,GCF_900458635.1.fna,0.008193672,0.9918063
GCF_031728235.1.fna,GCF_900458635.1.fna,0.023078203,0.9769218
GCF_040947205.1.fna,GCF_900458635.1.fna,0.020679712,0.9793203
GCF_031727235.1.fna,GCF_900458635.1.fna,0.0077809095,0.9922191
GCF_022690165.1.fna,GCF_900458635.1.fna,0.020747006,0.979253
GCF_031728075.1.fna,GCF_900458635.1.fna,0.02156949,0.9784305
GCF_022689965.1.fna,GCF_900458635.1.fna,0.020679712,0.9793203
GCF_022689575.1.fna,GCF_900458635.1.fna,0.0063854456,0.99361455
GCF_037694985.1.fna,GCF_900458635.1.fna,0.022062302,0.9779377
GCF_022690185.1.fna,GCF_900458635.1.fna,0.007967472,0.9920325
GCF_031728335.1.fna,GCF_900458635.1.fna,0.021086395,0.9789136
GCF_031728095.1.fna,GCF_900458635.1.fna,0.007892609,0.9921074
GCF_022690385.1.fna,GCF_900458635.1.fna,0.02227658,0.9777234
GCF_022690425.1.fna,GCF_900458635.1.fna,0.021499872,0.9785001
GCF_022690375.1.fna,GCF_900458635.1.fna,0.0064892173,0.9935108
GCF_022689675.1.fna,GCF_900458635.1.fna,0.021086395,0.9789136
GCF_022690245.1.fna,GCF_900458635.1.fna,0.021361291,0.9786387
GCF_037700295.1.fna,GCF_900458635.1.fna,0.021223426,0.9787766
GCF_015274535.1.fna,GCF_900458635.1.fna,0.020612597,0.9793874
GCF_022689845.1.fna,GCF_900458635.1.fna,0.021430492,0.9785695
GCF_022689745.1.fna,GCF_900458635.1.fna,0.021086395,0.9789136
GCF_022689925.1.fna,GCF_900458635.1.fna,0.023829877,0.9761701
GCF_015274655.1.fna,GCF_900458635.1.fna,0.020612597,0.9793874
GCF_022690325.1.fna,GCF_900458635.1.fna,0.008307815,0.9916922
GCF_022689785.1.fna,GCF_900458635.1.fna,0.006663382,0.9933366
GCF_031728155.1.fna,GCF_900458635.1.fna,0.02156949,0.9784305
GCF_037700455.1.fna,GCF_900458635.1.fna,0.0051193237,0.9948807
GCF_022689905.1.fna,GCF_900458635.1.fna,0.020814478,0.9791855
GCF_022690105.1.fna,GCF_900458635.1.fna,0.020950079,0.9790499
GCF_022689975.1.fna,GCF_900458635.1.fna,0.021920502,0.9780795
GCF_022689705.1.fna,GCF_900458635.1.fna,0.0077438354,0.99225616
GCF_031728835.1.fna,GCF_900458635.1.fna,0.020747006,0.979253
GCF_031728115.1.fna,GCF_900458635.1.fna,0.020814478,0.9791855
GCF_022689775.1.fna,GCF_900458635.1.fna,0.008422613,0.9915774
GCF_031728455.1.fna,GCF_900458635.1.fna,0.0075961947,0.9924038
GCF_025143615.1.fna,GCF_900458635.1.fna,0.008117974,0.991882
GCF_052950835.1.fna,GCF_900458635.1.fna,0.011666119,0.9883339
GCF_040947125.1.fna,GCF_900458635.1.fna,0.0055426955,0.9944573
GCF_017315645.1.fna,GCF_900458635.1.fna,0.020612597,0.9793874
GCF_040947645.1.fna,GCF_900458635.1.fna,0.021018088,0.9789819
GCF_022690345.1.fna,GCF_900458635.1.fna,0.021499872,0.9785001
GCF_022689645.1.fna,GCF_900458635.1.fna,0.007522762,0.99247724
GCF_022690295.1.fna,GCF_900458635.1.fna,0.022565126,0.9774349
GCF_031728715.1.fna,GCF_900458635.1.fna,0.0069811344,0.99301887
GCF_031728295.1.fna,GCF_900458635.1.fna,0.02088219,0.9791178
GCF_040947065.1.fna,GCF_900458635.1.fna,0.010826886,0.9891731
GCF_037695175.1.fna,GCF_900458635.1.fna,0.006213784,0.9937862
GCF_031728475.1.fna,GCF_900458635.1.fna,0.021430492,0.9785695
GCF_022690045.1.fna,GCF_022689565.1.fna,0.019951403,0.9800486
GCF_017315625.1.fna,GCF_022689565.1.fna,0.010187805,0.9898122
GCF_900458635.1.fna,GCF_022689565.1.fna,0.020679712,0.9793203
GCF_022689565.1.fna,GCF_022689565.1.fna,0.0,1.0
GCF_029926905.1.fna,GCF_022689565.1.fna,0.009772658,0.99022734
GCF_040947025.1.fna,GCF_022689565.1.fna,0.009285569,0.99071443
GCF_022690065.1.fna,GCF_022689565.1.fna,0.007340491,0.9926595
GCF_022689765.1.fna,GCF_022689565.1.fna,0.00823164,0.99176836
GCF_022690265.1.fna,GCF_022689565.1.fna,0.007088244,0.99291176
GCF_022689615.1.fna,GCF_022689565.1.fna,0.007967472,0.9920325
GCF_031728745.1.fna,GCF_022689565.1.fna,0.009006858,0.99099314
GCF_022690275.1.fna,GCF_022689565.1.fna,0.008499503,0.9915005
GCF_047653515.1.fna,GCF_022689565.1.fna,0.009365916,0.9906341
GCF_031728275.1.fna,GCF_022689565.1.fna,0.020612597,0.9793874
GCF_022690115.1.fna,GCF_022689565.1.fna,0.012967706,0.9870323
GCF_031728735.1.fna,GCF_022689565.1.fna,0.010187805,0.9898122
GCF_036419895.1.fna,GCF_022689565.1.fna,0.020679712,0.9793203
GCF_000269685.1.fna,GCF_022689565.1.fna,0.010145903,0.9898541
GCF_031728515.1.fna,GCF_022689565.1.fna,0.010313988,0.989686
GCF_037700155.1.fna,GCF_022689565.1.fna,0.007632971,0.992367
GCF_022690225.1.fna,GCF_022689565.1.fna,0.02088219,0.9791178
GCF_022689945.1.fna,GCF_022689565.1.fna,0.009690642,0.99030936
GCF_015274585.1.fna,GCF_022689565.1.fna,0.009854972,0.990145
GCF_031728415.1.fna,GCF_022689565.1.fna,0.02213347,0.97786653
GCF_031729015.1.fna,GCF_022689565.1.fna,0.021086395,0.9789136
GCF_037700315.1.fna,GCF_022689565.1.fna,0.021779478,0.9782205
GCF_031728795.1.fna,GCF_022689565.1.fna,0.019499123,0.9805009
GCF_031728555.1.fna,GCF_022689565.1.fna,0.00737679,0.9926232
GCF_029926865.1.fna,GCF_022689565.1.fna,0.009772658,0.99022734
GCF_040947225.1.fna,GCF_022689565.1.fna,0.019691885,0.9803081
GCF_031728695.1.fna,GCF_022689565.1.fna,0.020747006,0.979253
GCF_022689665.1.fna,GCF_022689565.1.fna,0.022062302,0.9779377
GCF_029926915.1.fna,GCF_022689565.1.fna,0.008927941,0.99107206
GCF_031728315.1.fna,GCF_022689565.1.fna,0.007892609,0.9921074
