"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_000269685.1","GCF_002901845.1","GCF_013267575.1","GCF_015274535.1","GCF_015274675.1","GCF_017315625.1","GCF_017315645.1","GCF_022689565.1","GCF_022689645.1","GCF_022689665.1","GCF_022689845.1","GCF_022689855.1","GCF_022689925.1","GCF_022689965.1","GCF_022689975.1","GCF_022690005.1","GCF_022690025.1","GCF_022690105.1","GCF_022690115.1","GCF_022690185.1","GCF_022690225.1","GCF_022690245.1","GCF_022690275.1","GCF_022690295.1","GCF_022690325.1","GCF_022690345.1","GCF_022690375.1","GCF_022690385.1","GCF_025143205.1","GCF_025143445.1","GCF_029926915.1","GCF_031631055.1","GCF_031727055.1","GCF_031727075.1","GCF_031727275.1","GCF_031727355.1","GCF_031727455.1","GCF_031727535.1","GCF_031728075.1","GCF_031728095.1","GCF_031728115.1","GCF_031728155.1","GCF_031728235.1","GCF_031728275.1","GCF_031728295.1","GCF_031728315.1","GCF_031728415.1","GCF_031728475.1","GCF_031728515.1","GCF_031728695.1","GCF_031728715.1","GCF_031728735.1","GCF_031728745.1","GCF_031728795.1","GCF_031728835.1","GCF_031728895.1","GCF_036420075.1","GCF_037694985.1","GCF_037700155.1","GCF_037700315.1","GCF_037700455.1","GCF_040947025.1","GCF_040947065.1","GCF_040947125.1","GCF_040947205.1","GCF_040947225.1","GCF_040947605.1","GCF_047653515.1","GCF_047653525.1","GCF_052950835.1","GCF_964211265.1"
"iscS","","Cysteine desulfurase IscS","71","71","1","1179","1","","","Investigate","1139","1139","1139","GCF_00026968_01806","GCF_00290184_00949","GCF_01326757_00789","GCF_01527453_00122","GCF_01527467_00111","GCF_01731562_01772","GCF_01731564_00821","GCF_02268956_01856","GCF_02268964_01556","GCF_02268966_01552","GCF_02268984_01660","GCF_02268985_01552","GCF_02268992_01896","GCF_02268996_01367","GCF_02268997_01200","GCF_02269000_01632","GCF_02269002_01001","GCF_02269010_01424","GCF_02269011_00683","GCF_02269018_00289","GCF_02269022_00191","GCF_02269024_00266","GCF_02269027_00417","GCF_02269029_01238","GCF_02269032_01496","GCF_02269034_01781","GCF_02269037_00953","GCF_02269038_01047","GCF_02514320_00165","GCF_02514344_00899","GCF_02992691_00877","GCF_03163105_01676","GCF_03172705_00393","GCF_03172707_00525","GCF_03172727_01335","GCF_03172735_01089","GCF_03172745_00071","GCF_03172753_01225","GCF_03172807_00600","GCF_03172809_01650","GCF_03172811_00043","GCF_03172815_01651","GCF_03172823_02026","GCF_03172827_01184","GCF_03172829_00371","GCF_03172831_00402","GCF_03172841_00860","GCF_03172847_00374","GCF_03172851_00739","GCF_03172869_01682","GCF_03172871_00064","GCF_03172873_00890","GCF_03172874_00936","GCF_03172879_00096","GCF_03172883_01258","GCF_03172889_00397","GCF_03642007_01776","GCF_03769498_00644","GCF_03770015_01013","GCF_03770031_01286","GCF_03770045_00399","GCF_04094702_00645","GCF_04094706_00168","GCF_04094712_00833","GCF_04094720_00751","GCF_04094722_00095","GCF_04094760_01114","GCF_04765351_01726","GCF_04765352_00403","GCF_05295083_01034","GCF_96421126_00790"
"mnmA","","tRNA-specific 2-thiouridylase MnmA","71","71","1","543","1","","","Investigate","1112","1112","1112","GCF_00026968_01807","GCF_00290184_00948","GCF_01326757_00788","GCF_01527453_00123","GCF_01527467_00112","GCF_01731562_01771","GCF_01731564_00820","GCF_02268956_01857","GCF_02268964_01555","GCF_02268966_01551","GCF_02268984_01659","GCF_02268985_01551","GCF_02268992_01895","GCF_02268996_01368","GCF_02268997_01201","GCF_02269000_01633","GCF_02269002_01000","GCF_02269010_01425","GCF_02269011_00682","GCF_02269018_00290","GCF_02269022_00192","GCF_02269024_00265","GCF_02269027_00418","GCF_02269029_01237","GCF_02269032_01495","GCF_02269034_01780","GCF_02269037_00952","GCF_02269038_01046","GCF_02514320_00166","GCF_02514344_00898","GCF_02992691_00876","GCF_03163105_01677","GCF_03172705_00392","GCF_03172707_00526","GCF_03172727_01334","GCF_03172735_01090","GCF_03172745_00072","GCF_03172753_01226","GCF_03172807_00599","GCF_03172809_01649","GCF_03172811_00044","GCF_03172815_01652","GCF_03172823_02025","GCF_03172827_01185","GCF_03172829_00370","GCF_03172831_00401","GCF_03172841_00861","GCF_03172847_00375","GCF_03172851_00738","GCF_03172869_01683","GCF_03172871_00063","GCF_03172873_00889","GCF_03172874_00935","GCF_03172879_00097","GCF_03172883_01257","GCF_03172889_00396","GCF_03642007_01777","GCF_03769498_00643","GCF_03770015_01012","GCF_03770031_01287","GCF_03770045_00398","GCF_04094702_00644","GCF_04094706_00169","GCF_04094712_00832","GCF_04094720_00750","GCF_04094722_00096","GCF_04094760_01115","GCF_04765351_01725","GCF_04765352_00402","GCF_05295083_01035","GCF_96421126_00789"
"recD2","","ATP-dependent RecD-like DNA helicase","71","71","1","1395","1","","","Investigate","2414","2423","2421","GCF_00026968_01809","GCF_00290184_00946","GCF_01326757_00786","GCF_01527453_00125","GCF_01527467_00114","GCF_01731562_01769","GCF_01731564_00818","GCF_02268956_01859","GCF_02268964_01553","GCF_02268966_01549","GCF_02268984_01657","GCF_02268985_01549","GCF_02268992_01893","GCF_02268996_01370","GCF_02268997_01203","GCF_02269000_01635","GCF_02269002_00998","GCF_02269010_01427","GCF_02269011_00680","GCF_02269018_00292","GCF_02269022_00194","GCF_02269024_00263","GCF_02269027_00420","GCF_02269029_01235","GCF_02269032_01493","GCF_02269034_01778","GCF_02269037_00950","GCF_02269038_01044","GCF_02514320_00168","GCF_02514344_00896","GCF_02992691_00874","GCF_03163105_01679","GCF_03172705_00390","GCF_03172707_00528","GCF_03172727_01332","GCF_03172735_01092","GCF_03172745_00074","GCF_03172753_01228","GCF_03172807_00597","GCF_03172809_01647","GCF_03172811_00046","GCF_03172815_01654","GCF_03172823_02023","GCF_03172827_01187","GCF_03172829_00368","GCF_03172831_00399","GCF_03172841_00863","GCF_03172847_00377","GCF_03172851_00736","GCF_03172869_01685","GCF_03172871_00061","GCF_03172873_00887","GCF_03172874_00933","GCF_03172879_00099","GCF_03172883_01255","GCF_03172889_00394","GCF_03642007_01779","GCF_03769498_00641","GCF_03770015_01010","GCF_03770031_01289","GCF_03770045_00396","GCF_04094702_00642","GCF_04094706_00171","GCF_04094712_00830","GCF_04094720_00748","GCF_04094722_00098","GCF_04094760_01117","GCF_04765351_01723","GCF_04765352_00400","GCF_05295083_01037","GCF_96421126_00787"
"trmR","","tRNA 5-hydroxyuridine methyltransferase","71","71","1","1501","1","","","Investigate","635","635","635","GCF_00026968_01814","GCF_00290184_00941","GCF_01326757_00781","GCF_01527453_00130","GCF_01527467_00119","GCF_01731562_01764","GCF_01731564_00813","GCF_02268956_01864","GCF_02268964_01548","GCF_02268966_01544","GCF_02268984_01652","GCF_02268985_01544","GCF_02268992_01888","GCF_02268996_01375","GCF_02268997_01208","GCF_02269000_01640","GCF_02269002_00993","GCF_02269010_01432","GCF_02269011_00675","GCF_02269018_00297","GCF_02269022_00199","GCF_02269024_00258","GCF_02269027_00425","GCF_02269029_01230","GCF_02269032_01488","GCF_02269034_01773","GCF_02269037_00945","GCF_02269038_01039","GCF_02514320_00173","GCF_02514344_00891","GCF_02992691_00869","GCF_03163105_01684","GCF_03172705_00385","GCF_03172707_00533","GCF_03172727_01327","GCF_03172735_01097","GCF_03172745_00079","GCF_03172753_01233","GCF_03172807_00592","GCF_03172809_01642","GCF_03172811_00051","GCF_03172815_01659","GCF_03172823_02018","GCF_03172827_01192","GCF_03172829_00363","GCF_03172831_00394","GCF_03172841_00868","GCF_03172847_00382","GCF_03172851_00731","GCF_03172869_01690","GCF_03172871_00056","GCF_03172873_01748","GCF_03172874_00928","GCF_03172879_00104","GCF_03172883_01250","GCF_03172889_00389","GCF_03642007_01784","GCF_03769498_00636","GCF_03770015_01005","GCF_03770031_01294","GCF_03770045_00391","GCF_04094702_00637","GCF_04094706_00176","GCF_04094712_00825","GCF_04094720_00743","GCF_04094722_00103","GCF_04094760_01122","GCF_04765351_01718","GCF_04765352_00395","GCF_05295083_01042","GCF_96421126_00782"
"rlhA","","23S rRNA 5-hydroxycytidine synthase","71","71","1","868","1","","","Investigate","923","923","923","GCF_00026968_01815","GCF_00290184_00940","GCF_01326757_00780","GCF_01527453_00131","GCF_01527467_00120","GCF_01731562_01763","GCF_01731564_00812","GCF_02268956_01865","GCF_02268964_01547","GCF_02268966_01543","GCF_02268984_01651","GCF_02268985_01543","GCF_02268992_01887","GCF_02268996_01376","GCF_02268997_01209","GCF_02269000_01641","GCF_02269002_00992","GCF_02269010_01433","GCF_02269011_00674","GCF_02269018_00298","GCF_02269022_00200","GCF_02269024_00257","GCF_02269027_00426","GCF_02269029_01229","GCF_02269032_01487","GCF_02269034_01772","GCF_02269037_00944","GCF_02269038_01038","GCF_02514320_00174","GCF_02514344_00890","GCF_02992691_00868","GCF_03163105_01685","GCF_03172705_00384","GCF_03172707_00534","GCF_03172727_01326","GCF_03172735_01098","GCF_03172745_00080","GCF_03172753_01234","GCF_03172807_00591","GCF_03172809_01641","GCF_03172811_00052","GCF_03172815_01660","GCF_03172823_02017","GCF_03172827_01193","GCF_03172829_00362","GCF_03172831_00393","GCF_03172841_00869","GCF_03172847_00383","GCF_03172851_00730","GCF_03172869_01691","GCF_03172871_00055","GCF_03172873_01749","GCF_03172874_00927","GCF_03172879_00105","GCF_03172883_01249","GCF_03172889_00388","GCF_03642007_01785","GCF_03769498_00635","GCF_03770015_01004","GCF_03770031_01295","GCF_03770045_00390","GCF_04094702_00636","GCF_04094706_00177","GCF_04094712_00824","GCF_04094720_00742","GCF_04094722_00104","GCF_04094760_01123","GCF_04765351_01717","GCF_04765352_00394","GCF_05295083_01043","GCF_96421126_00781"
"mtnN","","5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase","71","71","1","18","1","","","Investigate","686","686","686","GCF_00026968_01825","GCF_00290184_00930","GCF_01326757_00770","GCF_01527453_00141","GCF_01527467_00130","GCF_01731562_01753","GCF_01731564_00802","GCF_02268956_00064","GCF_02268964_01537","GCF_02268966_01021","GCF_02268984_01379","GCF_02268985_01533","GCF_02268992_01877","GCF_02268996_01386","GCF_02268997_01219","GCF_02269000_01651","GCF_02269002_00982","GCF_02269010_01443","GCF_02269011_00664","GCF_02269018_00308","GCF_02269022_00210","GCF_02269024_00247","GCF_02269027_00436","GCF_02269029_01219","GCF_02269032_01477","GCF_02269034_01762","GCF_02269037_00934","GCF_02269038_01028","GCF_02514320_00184","GCF_02514344_00880","GCF_02992691_00858","GCF_03163105_00457","GCF_03172705_00374","GCF_03172707_00544","GCF_03172727_00791","GCF_03172735_01530","GCF_03172745_00090","GCF_03172753_01244","GCF_03172807_02042","GCF_03172809_01045","GCF_03172811_00062","GCF_03172815_00317","GCF_03172823_02057","GCF_03172827_00833","GCF_03172829_00352","GCF_03172831_00383","GCF_03172841_00879","GCF_03172847_00393","GCF_03172851_00720","GCF_03172869_01701","GCF_03172871_00045","GCF_03172873_01759","GCF_03172874_00917","GCF_03172879_00115","GCF_03172883_01239","GCF_03172889_00378","GCF_03642007_01795","GCF_03769498_00625","GCF_03770015_01304","GCF_03770031_01305","GCF_03770045_00380","GCF_04094702_00626","GCF_04094706_00187","GCF_04094712_00814","GCF_04094720_00732","GCF_04094722_00114","GCF_04094760_01133","GCF_04765351_01707","GCF_04765352_00384","GCF_05295083_01053","GCF_96421126_00771"
"group_2093","","hypothetical protein","71","71","1","766","1","","","Investigate","527","527","527","GCF_00026968_01826","GCF_00290184_00929","GCF_01326757_00769","GCF_01527453_00142","GCF_01527467_00131","GCF_01731562_01752","GCF_01731564_00801","GCF_02268956_00065","GCF_02268964_01536","GCF_02268966_01020","GCF_02268984_01378","GCF_02268985_01532","GCF_02268992_01876","GCF_02268996_01387","GCF_02268997_01220","GCF_02269000_01652","GCF_02269002_00981","GCF_02269010_01444","GCF_02269011_00663","GCF_02269018_00309","GCF_02269022_00211","GCF_02269024_00246","GCF_02269027_00437","GCF_02269029_01218","GCF_02269032_01476","GCF_02269034_01761","GCF_02269037_00933","GCF_02269038_01027","GCF_02514320_00185","GCF_02514344_00879","GCF_02992691_00857","GCF_03163105_00458","GCF_03172705_00373","GCF_03172707_00545","GCF_03172727_00790","GCF_03172735_01529","GCF_03172745_00091","GCF_03172753_01245","GCF_03172807_02043","GCF_03172809_01046","GCF_03172811_00063","GCF_03172815_00318","GCF_03172823_02058","GCF_03172827_00834","GCF_03172829_00351","GCF_03172831_00382","GCF_03172841_00880","GCF_03172847_00394","GCF_03172851_00719","GCF_03172869_01702","GCF_03172871_00044","GCF_03172873_01760","GCF_03172874_00916","GCF_03172879_00116","GCF_03172883_01238","GCF_03172889_00377","GCF_03642007_01796","GCF_03769498_00624","GCF_03770015_01303","GCF_03770031_01306","GCF_03770045_00379","GCF_04094702_00625","GCF_04094706_00188","GCF_04094712_00813","GCF_04094720_00731","GCF_04094722_00115","GCF_04094760_01134","GCF_04765351_01706","GCF_04765352_00383","GCF_05295083_01054","GCF_96421126_00770"
"aroE","","Shikimate dehydrogenase (NADP(+))","71","71","1","53","1","","","Investigate","806","806","806","GCF_00026968_01828","GCF_00290184_00927","GCF_01326757_00767","GCF_01527453_00144","GCF_01527467_00133","GCF_01731562_01750","GCF_01731564_00799","GCF_02268956_00067","GCF_02268964_01534","GCF_02268966_01018","GCF_02268984_01376","GCF_02268985_01530","GCF_02268992_01874","GCF_02268996_01389","GCF_02268997_01222","GCF_02269000_01654","GCF_02269002_00979","GCF_02269010_01446","GCF_02269011_00661","GCF_02269018_00311","GCF_02269022_00213","GCF_02269024_00244","GCF_02269027_00439","GCF_02269029_01216","GCF_02269032_01474","GCF_02269034_01759","GCF_02269037_00931","GCF_02269038_01025","GCF_02514320_00187","GCF_02514344_00877","GCF_02992691_00855","GCF_03163105_00460","GCF_03172705_00371","GCF_03172707_00547","GCF_03172727_00788","GCF_03172735_01527","GCF_03172745_00093","GCF_03172753_01247","GCF_03172807_02045","GCF_03172809_01048","GCF_03172811_00065","GCF_03172815_00320","GCF_03172823_02060","GCF_03172827_00836","GCF_03172829_00349","GCF_03172831_00380","GCF_03172841_00882","GCF_03172847_00396","GCF_03172851_00717","GCF_03172869_01704","GCF_03172871_00042","GCF_03172873_01762","GCF_03172874_00914","GCF_03172879_00118","GCF_03172883_01236","GCF_03172889_00375","GCF_03642007_01798","GCF_03769498_00622","GCF_03770015_01301","GCF_03770031_01308","GCF_03770045_00377","GCF_04094702_00623","GCF_04094706_00190","GCF_04094712_00811","GCF_04094720_00729","GCF_04094722_00117","GCF_04094760_01136","GCF_04765351_01704","GCF_04765352_00381","GCF_05295083_01056","GCF_96421126_00768"
"nadD","","putative nicotinate-nucleotide adenylyltransferase","71","71","1","1394","1","","","Investigate","569","569","569","GCF_00026968_01830","GCF_00290184_00925","GCF_01326757_00765","GCF_01527453_00146","GCF_01527467_00135","GCF_01731562_01748","GCF_01731564_00797","GCF_02268956_00069","GCF_02268964_01532","GCF_02268966_01016","GCF_02268984_01374","GCF_02268985_01528","GCF_02268992_01872","GCF_02268996_01391","GCF_02268997_01224","GCF_02269000_01656","GCF_02269002_00977","GCF_02269010_01448","GCF_02269011_00659","GCF_02269018_00313","GCF_02269022_00215","GCF_02269024_00242","GCF_02269027_00441","GCF_02269029_01214","GCF_02269032_01472","GCF_02269034_01757","GCF_02269037_00929","GCF_02269038_01023","GCF_02514320_00189","GCF_02514344_00875","GCF_02992691_00853","GCF_03163105_00462","GCF_03172705_00369","GCF_03172707_00549","GCF_03172727_00786","GCF_03172735_01525","GCF_03172745_00095","GCF_03172753_01249","GCF_03172807_02047","GCF_03172809_01050","GCF_03172811_00067","GCF_03172815_00322","GCF_03172823_02062","GCF_03172827_00838","GCF_03172829_00347","GCF_03172831_00378","GCF_03172841_00884","GCF_03172847_00398","GCF_03172851_00715","GCF_03172869_01706","GCF_03172871_00040","GCF_03172873_01764","GCF_03172874_00912","GCF_03172879_00120","GCF_03172883_01234","GCF_03172889_00373","GCF_03642007_01800","GCF_03769498_00620","GCF_03770015_01299","GCF_03770031_01310","GCF_03770045_00375","GCF_04094702_00621","GCF_04094706_00192","GCF_04094712_00809","GCF_04094720_00727","GCF_04094722_00119","GCF_04094760_01138","GCF_04765351_01702","GCF_04765352_00379","GCF_05295083_01058","GCF_96421126_00766"
"group_2096","","hypothetical protein","71","71","1","1542","1","","","Investigate","566","584","583","GCF_00026968_01831","GCF_00290184_00924","GCF_01326757_00764","GCF_01527453_00147","GCF_01527467_00136","GCF_01731562_01747","GCF_01731564_00796","GCF_02268956_00070","GCF_02268964_01531","GCF_02268966_01015","GCF_02268984_01373","GCF_02268985_01527","GCF_02268992_01871","GCF_02268996_01392","GCF_02268997_01225","GCF_02269000_01657","GCF_02269002_00976","GCF_02269010_01449","GCF_02269011_00658","GCF_02269018_00314","GCF_02269022_00216","GCF_02269024_00241","GCF_02269027_00442","GCF_02269029_01213","GCF_02269032_01471","GCF_02269034_01756","GCF_02269037_00928","GCF_02269038_01022","GCF_02514320_00190","GCF_02514344_00874","GCF_02992691_00852","GCF_03163105_00463","GCF_03172705_00368","GCF_03172707_00550","GCF_03172727_00785","GCF_03172735_01524","GCF_03172745_00096","GCF_03172753_01250","GCF_03172807_02048","GCF_03172809_01051","GCF_03172811_00068","GCF_03172815_00323","GCF_03172823_02063","GCF_03172827_00839","GCF_03172829_00346","GCF_03172831_00377","GCF_03172841_00885","GCF_03172847_00399","GCF_03172851_00714","GCF_03172869_01707","GCF_03172871_00039","GCF_03172873_01765","GCF_03172874_00911","GCF_03172879_00121","GCF_03172883_01233","GCF_03172889_00372","GCF_03642007_01801","GCF_03769498_00619","GCF_03770015_01298","GCF_03770031_01311","GCF_03770045_00374","GCF_04094702_00620","GCF_04094706_00193","GCF_04094712_00808","GCF_04094720_00726","GCF_04094722_00120","GCF_04094760_01139","GCF_04765351_01701","GCF_04765352_00378","GCF_05295083_01059","GCF_96421126_00765"
"rpsT","","30S ribosomal protein S20","71","71","1","99","1","","","Investigate","251","251","251","GCF_00026968_01838","GCF_00290184_00917","GCF_01326757_00757","GCF_01527453_00154","GCF_01527467_00143","GCF_01731562_01740","GCF_01731564_00789","GCF_02268956_00077","GCF_02268964_01524","GCF_02268966_01008","GCF_02268984_01366","GCF_02268985_01520","GCF_02268992_01864","GCF_02268996_01399","GCF_02268997_01232","GCF_02269000_01664","GCF_02269002_00969","GCF_02269010_00891","GCF_02269011_00651","GCF_02269018_00321","GCF_02269022_00223","GCF_02269024_00234","GCF_02269027_00449","GCF_02269029_01206","GCF_02269032_01464","GCF_02269034_01749","GCF_02269037_00921","GCF_02269038_01015","GCF_02514320_00197","GCF_02514344_00867","GCF_02992691_00845","GCF_03163105_00470","GCF_03172705_00361","GCF_03172707_00557","GCF_03172727_00778","GCF_03172735_01517","GCF_03172745_00103","GCF_03172753_01257","GCF_03172807_01179","GCF_03172809_01058","GCF_03172811_00075","GCF_03172815_00330","GCF_03172823_00592","GCF_03172827_00846","GCF_03172829_00339","GCF_03172831_00370","GCF_03172841_00892","GCF_03172847_00406","GCF_03172851_00707","GCF_03172869_01714","GCF_03172871_00032","GCF_03172873_01830","GCF_03172874_00904","GCF_03172879_00128","GCF_03172883_01226","GCF_03172889_00364","GCF_03642007_01808","GCF_03769498_00612","GCF_03770015_01291","GCF_03770031_01318","GCF_03770045_00367","GCF_04094702_00613","GCF_04094706_00200","GCF_04094712_00801","GCF_04094720_00719","GCF_04094722_00127","GCF_04094760_01146","GCF_04765351_01694","GCF_04765352_00371","GCF_05295083_01066","GCF_96421126_00758"
"hemW","","Heme chaperone HemW","71","71","1","830","1","","","Investigate","995","995","995","GCF_00026968_01840","GCF_00290184_00915","GCF_01326757_00755","GCF_01527453_00156","GCF_01527467_00145","GCF_01731562_01738","GCF_01731564_00787","GCF_02268956_00079","GCF_02268964_01522","GCF_02268966_01006","GCF_02268984_01364","GCF_02268985_01518","GCF_02268992_01862","GCF_02268996_01401","GCF_02268997_01234","GCF_02269000_01666","GCF_02269002_00967","GCF_02269010_00889","GCF_02269011_00649","GCF_02269018_00323","GCF_02269022_00225","GCF_02269024_00232","GCF_02269027_00451","GCF_02269029_01204","GCF_02269032_01462","GCF_02269034_01747","GCF_02269037_00919","GCF_02269038_01013","GCF_02514320_00199","GCF_02514344_00865","GCF_02992691_00843","GCF_03163105_00472","GCF_03172705_00359","GCF_03172707_00559","GCF_03172727_00776","GCF_03172735_01515","GCF_03172745_00105","GCF_03172753_01259","GCF_03172807_01177","GCF_03172809_01060","GCF_03172811_00077","GCF_03172815_00332","GCF_03172823_00594","GCF_03172827_00848","GCF_03172829_00337","GCF_03172831_00368","GCF_03172841_00894","GCF_03172847_00408","GCF_03172851_00705","GCF_03172869_01716","GCF_03172871_00030","GCF_03172873_01828","GCF_03172874_00902","GCF_03172879_00130","GCF_03172883_01224","GCF_03172889_00362","GCF_03642007_01810","GCF_03769498_00610","GCF_03770015_01289","GCF_03770031_01320","GCF_03770045_00365","GCF_04094702_00611","GCF_04094706_00202","GCF_04094712_00799","GCF_04094720_00717","GCF_04094722_00129","GCF_04094760_01148","GCF_04765351_01692","GCF_04765352_00369","GCF_05295083_01068","GCF_96421126_00756"
"grpE","","Protein GrpE","71","71","1","704","1","","","Investigate","614","623","622","GCF_00026968_01842","GCF_00290184_00913","GCF_01326757_00753","GCF_01527453_00158","GCF_01527467_00147","GCF_01731562_01736","GCF_01731564_00785","GCF_02268956_00081","GCF_02268964_01520","GCF_02268966_01004","GCF_02268984_01362","GCF_02268985_01516","GCF_02268992_01860","GCF_02268996_01403","GCF_02268997_01236","GCF_02269000_01668","GCF_02269002_00965","GCF_02269010_00887","GCF_02269011_00647","GCF_02269018_00325","GCF_02269022_00227","GCF_02269024_00230","GCF_02269027_00453","GCF_02269029_01202","GCF_02269032_01460","GCF_02269034_01745","GCF_02269037_00917","GCF_02269038_01011","GCF_02514320_00201","GCF_02514344_00863","GCF_02992691_00841","GCF_03163105_00474","GCF_03172705_00357","GCF_03172707_00561","GCF_03172727_00774","GCF_03172735_01513","GCF_03172745_00107","GCF_03172753_01261","GCF_03172807_01175","GCF_03172809_01062","GCF_03172811_00079","GCF_03172815_00334","GCF_03172823_00596","GCF_03172827_00850","GCF_03172829_00335","GCF_03172831_00366","GCF_03172841_00896","GCF_03172847_00410","GCF_03172851_00703","GCF_03172869_01718","GCF_03172871_00028","GCF_03172873_01826","GCF_03172874_00900","GCF_03172879_00132","GCF_03172883_01222","GCF_03172889_00360","GCF_03642007_01812","GCF_03769498_00608","GCF_03770015_01287","GCF_03770031_01322","GCF_03770045_00363","GCF_04094702_00609","GCF_04094706_00204","GCF_04094712_00797","GCF_04094720_00715","GCF_04094722_00131","GCF_04094760_01150","GCF_04765351_01690","GCF_04765352_00367","GCF_05295083_01070","GCF_96421126_00754"
"ccpN","","Transcriptional repressor CcpN","71","71","1","965","1","","","Investigate","491","491","491","GCF_00026968_01857","GCF_00290184_00898","GCF_01326757_00738","GCF_01527453_00900","GCF_01527467_00162","GCF_01731562_00690","GCF_01731564_00770","GCF_02268956_00096","GCF_02268964_01505","GCF_02268966_00989","GCF_02268984_01347","GCF_02268985_01501","GCF_02268992_01845","GCF_02268996_01418","GCF_02268997_00372","GCF_02269000_01683","GCF_02269002_00950","GCF_02269010_01814","GCF_02269011_00632","GCF_02269018_00340","GCF_02269022_00242","GCF_02269024_00645","GCF_02269027_00468","GCF_02269029_01187","GCF_02269032_01445","GCF_02269034_01730","GCF_02269037_00902","GCF_02269038_00996","GCF_02514320_00216","GCF_02514344_00848","GCF_02992691_00826","GCF_03163105_00489","GCF_03172705_00342","GCF_03172707_00576","GCF_03172727_00759","GCF_03172735_01498","GCF_03172745_00122","GCF_03172753_01276","GCF_03172807_01160","GCF_03172809_01077","GCF_03172811_00094","GCF_03172815_00349","GCF_03172823_00611","GCF_03172827_00865","GCF_03172829_00320","GCF_03172831_00351","GCF_03172841_01946","GCF_03172847_00425","GCF_03172851_00688","GCF_03172869_01733","GCF_03172871_00013","GCF_03172873_01974","GCF_03172874_00885","GCF_03172879_00147","GCF_03172883_01207","GCF_03172889_00345","GCF_03642007_01827","GCF_03769498_00593","GCF_03770015_01272","GCF_03770031_01337","GCF_03770045_00348","GCF_04094702_00594","GCF_04094706_00219","GCF_04094712_00782","GCF_04094720_00700","GCF_04094722_00146","GCF_04094760_00577","GCF_04765351_01675","GCF_04765352_00351","GCF_05295083_01085","GCF_96421126_00739"
"znuC","","High-affinity zinc uptake system ATP-binding protein ZnuC","71","71","1","1304","1","","","Investigate","776","776","776","GCF_00026968_01865","GCF_00290184_00890","GCF_01326757_00730","GCF_01527453_00908","GCF_01527467_00170","GCF_01731562_00682","GCF_01731564_00762","GCF_02268956_00104","GCF_02268964_01497","GCF_02268966_00981","GCF_02268984_01339","GCF_02268985_01493","GCF_02268992_01837","GCF_02268996_01426","GCF_02268997_00364","GCF_02269000_01691","GCF_02269002_00942","GCF_02269010_01806","GCF_02269011_00624","GCF_02269018_00348","GCF_02269022_00250","GCF_02269024_00637","GCF_02269027_00476","GCF_02269029_01179","GCF_02269032_01437","GCF_02269034_01722","GCF_02269037_00894","GCF_02269038_00988","GCF_02514320_00224","GCF_02514344_00840","GCF_02992691_00818","GCF_03163105_00497","GCF_03172705_00334","GCF_03172707_00584","GCF_03172727_00751","GCF_03172735_01490","GCF_03172745_00130","GCF_03172753_01284","GCF_03172807_01152","GCF_03172809_01085","GCF_03172811_00102","GCF_03172815_00357","GCF_03172823_00619","GCF_03172827_00873","GCF_03172829_00312","GCF_03172831_00343","GCF_03172841_01938","GCF_03172847_00433","GCF_03172851_00680","GCF_03172869_01963","GCF_03172871_00005","GCF_03172873_01550","GCF_03172874_00877","GCF_03172879_00155","GCF_03172883_01199","GCF_03172889_00337","GCF_03642007_01835","GCF_03769498_00585","GCF_03770015_01264","GCF_03770031_01899","GCF_03770045_00340","GCF_04094702_00586","GCF_04094706_00227","GCF_04094712_00774","GCF_04094720_00692","GCF_04094722_00154","GCF_04094760_00569","GCF_04765351_01667","GCF_04765352_00343","GCF_05295083_01093","GCF_96421126_00731"
